STANDARD,GRADE,END_GRADE,LEARNING_DOMAIN,FULL_CODE,DESCRIPTION
Michigan Integrated Technology Competencies for Students,PK,2,Empowered Learner,MITECS.A4-7.EL ,"Students leverage technology to take an active role in choosing, achieving, and demonstrating competency in their learning goals, informed by the learning sciences."
Michigan Integrated Technology Competencies for Students,PK,2,Empowered Learner,MITECS.A4-7.EL.1,"With guidance from an educator, students consider and set personal learning goals and utilize appropriate technologies that will demonstrate knowledge and reflection of the process"
Michigan Integrated Technology Competencies for Students,PK,2,Empowered Learner,MITECS.A4-7.EL.2,"With guidance from an educator, students learn about various technologies that can be used to connect to others or make their leaning environments personal and select resources from those available to enhance their learning."
Michigan Integrated Technology Competencies for Students,PK,2,Empowered Learner,MITECS.A4-7.EL.3,"With guidance from an educator, students recognize performance feedback from digital tools, make
adjustments based on that feedback and use age-appropriate technology to share learning."
Michigan Integrated Technology Competencies for Students,PK,2,Empowered Learner,MITECS.A4-7.EL.4,"With guidance from an educator, students explore a variety of technologies that will help them in their learning and begin to demonstrate an understanding of how knowledge can be transferred between tools."
Michigan Integrated Technology Competencies for Students,PK,2,Digital Citizen,MITECS.A4-7.DC ,"Students recognize the rights, responsibilities and opportunities of living, learning and working in an interconnected digital world, and they act and model in ways that are safe, legal and ethical."
Michigan Integrated Technology Competencies for Students,PK,2,Digital Citizen,MITECS.A4-7.DC.1,"Students practice responsible use of technology through teacher-guided online activities and interactions to
understand how the digital space impacts their life."
Michigan Integrated Technology Competencies for Students,PK,2,Digital Citizen,MITECS.A4-7.DC.2,"With guidance from an educator, students understand how to be careful when using devices and how to be safe
online, follow safety rules when using the internet and collaborate with others."
Michigan Integrated Technology Competencies for Students,PK,2,Digital Citizen,MITECS.A4-7.DC.3," With guidance from an educator, students learn about ownership and sharing of information, and how to respect the work of others."
Michigan Integrated Technology Competencies for Students,PK,2,Digital Citizen,MITECS.A4-7.DC.4,"With guidance from an educator, students demonstrate an understanding that technology is all around them and the importance of keeping their information private."
Michigan Integrated Technology Competencies for Students,PK,2,Knowledge Constructor,MITECS.A4-7.KC ,"Students critically curate a variety of resources using digital tools to construct knowledge, produce creative artifacts and make meaningful learning experiences for themselves and others."
Michigan Integrated Technology Competencies for Students,PK,2,Knowledge Constructor,MITECS.A4-7.KC.1,"With guidance from an educator, students use digital tools and resources, contained within a classroom platform
or otherwise provided by the teacher, to find information on topics of interest."
Michigan Integrated Technology Competencies for Students,PK,2,Knowledge Constructor,MITECS.A4-7.KC.2,"With guidance from an educator, students become familiar with age-appropriate criteria for evaluating digital content."
Michigan Integrated Technology Competencies for Students,PK,2,Knowledge Constructor,MITECS.A4-7.KC.3,"With guidance from an educator, students explore a variety of teacher-selected tools to organize information and make connections to their learning."
Michigan Integrated Technology Competencies for Students,PK,2,Knowledge Constructor,MITECS.A4-7.KC.4,"With guidance from an educator, students explore real-world issues and problems and share their ideas about them with others."
Michigan Integrated Technology Competencies for Students,PK,2,Innovative Designer,MITECS.A4-7.ID ,"Students use a variety of technologies within a design process to solve problems by creating new, useful or imaginative solutions."
Michigan Integrated Technology Competencies for Students,PK,2,Innovative Designer,MITECS.A4-7.ID.1," With guidance from an educator, students ask questions, suggest solutions, test ideas to solve problems and share their learning."
Michigan Integrated Technology Competencies for Students,PK,2,Innovative Designer,MITECS.A4-7.ID.2, Students use age-appropriate digital and non-digital tools to design something and are aware of the step-by-step process of designing.
Michigan Integrated Technology Competencies for Students,PK,2,Innovative Designer,MITECS.A4-7.ID.3," Students use a design process to develop ideas or creations, and they test their design and redesign if necessary."
Michigan Integrated Technology Competencies for Students,PK,2,Innovative Designer,MITECS.A4-7.ID.4, Students demonstrate perseverance when working to complete a challenging task.
Michigan Integrated Technology Competencies for Students,PK,2,Computational Thinker,MITECS.A4-7.CT ,Students develop and employ strategies for understanding and solving problems in ways that leverage the power of technological methods to develop and test solutions.
Michigan Integrated Technology Competencies for Students,PK,2,Computational Thinker,MITECS.A4-7.CT.1,"With guidance from an educator, students identify a problem and select appropriate technology tools to explore
and find solutions"
Michigan Integrated Technology Competencies for Students,PK,2,Computational Thinker,MITECS.A4-7.CT.2," With guidance from an educator, students analyze age-appropriate data and look for similarities in order to identify patterns and categories."
Michigan Integrated Technology Competencies for Students,PK,2,Computational Thinker,MITECS.A4-7.CT.3," With guidance from an educator, students break a problem into parts and identify ways to solve the problem."
Michigan Integrated Technology Competencies for Students,PK,2,Computational Thinker,MITECS.A4-7.CT.4, Students understand how technology is used to make a task easier or repeatable and can identify real-world examples.
Michigan Integrated Technology Competencies for Students,PK,2,Creative Communicator,MITECS.A4-7.CC ,"Students communicate clearly and express themselves creatively for a variety of purposes using the platforms, tools, styles, formats and digital media appropriate to their goals."
Michigan Integrated Technology Competencies for Students,PK,2,Creative Communicator,MITECS.A4-7.CC.1," With guidance from an educator, students choose different tools for creating something new or for communicating with others."
Michigan Integrated Technology Competencies for Students,PK,2,Creative Communicator,MITECS.A4-7.CC.2, Students use digital tools to create original works.
Michigan Integrated Technology Competencies for Students,PK,2,Creative Communicator,MITECS.A4-7.CC.3," With guidance from an educator, students share ideas in multiple ways—visual, audio, etc."
Michigan Integrated Technology Competencies for Students,PK,2,Creative Communicator,MITECS.A4-7.CC.4,"With guidance from an educator, students select technology to share their ideas with different people."
Michigan Integrated Technology Competencies for Students,PK,2,Global Collaborator,MITECS.A4-7.GC ,Students use digital tools to broaden their perspectives and enrich their learning by collaborating with others and working effectively in teams locally and globally.
Michigan Integrated Technology Competencies for Students,PK,2,Global Collaborator,MITECS.A4-7.GC.1,"With guidance from an educator, students use technology tools to work with friends and with people outside their neighborhood, city and beyond."
Michigan Integrated Technology Competencies for Students,PK,2,Global Collaborator,MITECS.A4-7.GC.2,"With guidance from an educator, students use technology to communicate with others and to look at problems from different perspectives."
Michigan Integrated Technology Competencies for Students,PK,2,Global Collaborator,MITECS.A4-7.GC.3,"With guidance from an educator, students take on different team roles and use age-appropriate technologies to complete projects."
Michigan Integrated Technology Competencies for Students,PK,2,Global Collaborator,MITECS.A4-7.GC.4,"With guidance from an educator, students use age-appropriate technologies to work together to understand problems and suggest solutions"
Michigan Integrated Technology Competencies for Students,3,5,Empowered Learner,MITECS.A8-11.EL ,"Students leverage technology to take an active role in choosing, achieving and demonstrating competency in their learning goals, informed by the learning sciences."
Michigan Integrated Technology Competencies for Students,3,5,Empowered Learner,MITECS.A8-11.EL.1,"Students develop learning goals in collaboration with an educator, select the technology tools to achieve them, and reﬂect on and revise the learning process as needed to achieve goals."
Michigan Integrated Technology Competencies for Students,3,5,Empowered Learner,MITECS.A8-11.EL.2, With the oversight and support of an educator Students build a network of experts and peers within school policy and customize their environments to enhance their learning.
Michigan Integrated Technology Competencies for Students,3,5,Empowered Learner,MITECS.A8-11.EL.3," Students seek from feedback from both people and features embedded in digital tools, and use age-appropriate technology to share learning."
Michigan Integrated Technology Competencies for Students,3,5,Empowered Learner,MITECS.A8-11.EL.4, Students explore age-appropriate technologies and begin to transfer their learning to different tools or learning environments. 
